"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Ahmed A.; He P.; He P.; Wu Y.; He Y.; Munir S.","Ahmed, Ayesha (57214602368); He, Pengfei (55316705800); He, Pengbo (55599430200); Wu, Yixin (55749914600); He, Yueqiu (16068790500); Munir, Shahzad (55676673400)","57214602368; 55316705800; 55599430200; 55749914600; 16068790500; 55676673400","Environmental effect of agriculture-related manufactured nano-objects on soil microbial communities","2023","Environment International","173","","107819","","","","9","10.1016/j.envint.2023.107819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149063433&doi=10.1016%2fj.envint.2023.107819&partnerID=40&md5=a486a5ab15a0d8c1b9deee0aa33a04d4","Agriculture-related manufactured nano-objects (MNOs) can revolutionize the crop production and help to achieve sustainable development goals. MNOs with diverse physico-chemical properties and ability to encapsulate and deliver active ingredients in controlled, targeted and stimuli responsive manner can enhance the efficiency while minimizing collateral damage to non-target organisms and environment. Application of MNOs in the form of nanopesticides and nanofertilizers is known to affect soil microbial communities both positively and negatively, but detailed studies with varying dose, type and environmental conditions are scarce. Therefore, it is imperative to understand the complex mechanisms and factors which shape the MNOs-microbial interactions through integrating state of the art technologies including omics (transcriptomics, metabolomics, and proteomics), artificial intelligence, and statistical frameworks. Lastly, we propose the idea of MNOs-mediated manipulation of soil microbiome to modify the soil microbial communities for improved microbial services. These microbial services, if harnessed appropriately, can revolutionize modern agriculture and help in achieving sustainable development goals. © 2023 The Author(s)","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149063433"
"Rodríguez-Alonso C.; Pena-Regueiro I.; García Ó.","Rodríguez-Alonso, Carlos (58933063400); Pena-Regueiro, Iván (58932392800); García, Óscar (57613001000)","58933063400; 58932392800; 57613001000","Digital Twin Platform for Water Treatment Plants Using Microservices Architecture","2024","Sensors","24","5","1568","","","","0","10.3390/s24051568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187444087&doi=10.3390%2fs24051568&partnerID=40&md5=f6ef1b0cd4692e667f1e1a9865eccaca","The effects of climate change and the rapid growth of societies often lead to water scarcity and inadequate water quality, resulting in a significant number of diseases. The digitalization of infrastructure and the use of Digital Twins are presented as alternatives for optimizing resources and the necessary infrastructure in the water cycle. This paper presents a framework for the development of a Digital Twin platform for a wastewater treatment plant, based on a microservices architecture which optimized its design for edge computing implementation. The platform aims to optimize the operation and maintenance processes of the plant’s systems, by employing machine learning techniques, process modeling and simulation, as well as leveraging the information contained in BIM models to support decision-making. © 2024 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85187444087"
"Chen B.; Madni G.R.","Chen, Bing (58701784000); Madni, Ghulam Rasool (57202096035)","58701784000; 57202096035","Achievement of sustainable environment through effectiveness of social media in Z generation of China","2023","PLoS ONE","18","11 November","e0292403","","","","3","10.1371/journal.pone.0292403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177235356&doi=10.1371%2fjournal.pone.0292403&partnerID=40&md5=69047e6d416b85c93773cc04acb1b315","Social media is emerged as a powerful communication tool over the past ten years. The Z generation’s green buying habits and purchase intentions are being reshaped by social media, which is helping to advance the development of a sustainable environment. The consumption of non-organic products has raised carbon emissions, so changing consumption patterns and purchase intentions is necessary for a more sustainable future. Moreover, earlier literature has the absence of a comprehensive behavior change model that explains the mechanism through which social media influences sustainable behaviors This study explores that how social media affects patterns of consumption for Z generation of China while considering the role of environmental concerns, subjective norms, eco-branding and eco-labeling on the basis of theory of planned behavior. A questionnaire is used to get information from the 563 Z generation respondents of China. The data is analyzed using Smart-PLS and empirical outcomes show that social media has a statistically significant influence on shaping and affecting green consumption behavior of China’s Z generation because it has the potential to reach a vast audience and spread awareness about environmental issues, leading to increased intention towards a sustainable environment and reduction in carbon emissions. It also provides a platform for individuals to express their opinions and engage in discussions on environmental issues. These developments are promising for the future of environmental sustainability as they indicate a growing interest in preserving the planet among the Z generation of China. It can be recommended as a policy tool that government and other organizations should support the development of informative content on social media platforms, highlighting the importance of environmental sustainability and ecofriendly habits. Copyright: © 2023 Chen, Madni. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85177235356"
"Marzouk M.; Azab S.","Marzouk, Mohamed (7005098184); Azab, Shimaa (55960276800)","7005098184; 55960276800","Modeling climate change adaptation for sustainable coastal zones using GIS and AHP","2024","Environmental Monitoring and Assessment","196","2","147","","","","0","10.1007/s10661-023-12287-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182220000&doi=10.1007%2fs10661-023-12287-2&partnerID=40&md5=224c412d3ad4b1ca98568ac218ea2722","The world is currently confronting one of its biggest environmental challenges: combating climate change. Coastal zones are one of the areas thought to be most sensitive to current and future climate change threats. The paper integrates Remote Sensing (RS), Geographic Information System (GIS) techniques, and Multi-Criteria Decision Analysis (MCDA) to detect vulnerable areas from climate change impacts in coastal zones in order to recommend adaptation systems in new coastal zones that can withstand various climatic changes. The proposed decision-making framework was developed in three phases: 1) climate data collection and processing; 2) Coastal Climate Impact Assessment (CCIA) model development; and 3) implementation and adaptation system selection. The climate data collection and processing phase involves determining the most significant climate change parameters and their indicators that affect coastal zone stability, extracting climatic data indicators from different climate database sources, and prioritizing the selected indicators. The indicators’ weights were estimated using the Analytical Hierarchy Process (AHP) through a questionnaire survey shared with experts in climate change impacts. A CCIA model development phase involves the formulation of the proposed model using GIS technique to discover the vulnerable areas according to the most dominant impact. The implementation and adaptation system selection phase involves the application of the framework to Al-Alamein New City in Egypt. A sensitivity analysis was conducted to measure the behavior of several climate change parameters to identify the most critical parameter for climate change in Al-Alamein New City. The results showed that the geology of the region is the most crucial component influenced by climate change. It is capable of producing a very sensitive area in the coastal zone while also taking other factors into account. When creating new urban neighborhoods, the erosion of the shoreline is the least important factor to consider. This is because coastal deterioration is caused by both the influence of metrological data on the region and the impact of human activity. Shoreline deterioration will be reduced if climate conditions are maintained while limiting the impact of human activities. To adapt to the long-term effects of climate change on coastal zones, a combination of soft and hard protection systems should be considered. © 2024, The Author(s).","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85182220000"
"Ekwueme B.N.","Ekwueme, Benjamin Nnamdi (57221540760)","57221540760","Deep neural network modeling of river discharge in a tropical humid watershed","2024","Earth Science Informatics","17","2","","1161","1177","16","0","10.1007/s12145-023-01219-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182159382&doi=10.1007%2fs12145-023-01219-w&partnerID=40&md5=30c811746fd347277366e3f9e89167b8","Precise forecast of river discharge is crucial for a variety of sectors, from human activities to the control of environmental hazards, considering growing need for water resources and the effects of climate change. Despite the development of various discharge forecasting models, real-time projections are still difficult. This has necessitated the application of Artificial Intelligence to predict river discharge using satellite data since there is paucity of gauged records in most developing countries. In this research, a 38-year data, obtained from the National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center using the Modern-Era Retrospective Analysis for Research and Applications, version 2 (MERRA-2), was used to model the discharge of five selected rivers from South Eastern Nigeria watershed. Deep Neural Networks (DNN) modeling technique was engaged. Back propagation learning algorithms of various network topologies were developed for predicting the river’s discharge with respect to other hydrological properties. The developed model was trained and validated with the raw dataset. Results indicated that relative humidity, atmospheric pressure, wind speed, rainfall intensity, radiation, air temperature, and soil temperature govern the discharge of river. The DNN model accurately predicted the river discharge with the 7–25-25–25-1 network structure, as evidenced by 99.91, 99.62, and 99.01% R for the training, validation, and test. The results of this analysis showed that DNN approach is effective at forecasting river discharge with respect to the hydrological characteristics. Decision-makers in the water and environmental sectors can utilize this knowledge in making an informed sustainable development plan. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.","Article","Final","","Scopus","2-s2.0-85182159382"
"Chen Y.; Chen Y.; Chen K.; Liu M.","Chen, Yi (58612189400); Chen, Yinrong (35799578900); Chen, Kun (57204422936); Liu, Min (57222981106)","58612189400; 35799578900; 57204422936; 57222981106","Research Progress and Hotspot Analysis of Residential Carbon Emissions Based on CiteSpace Software","2023","International Journal of Environmental Research and Public Health","20","3","1706","","","","2","10.3390/ijerph20031706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147811106&doi=10.3390%2fijerph20031706&partnerID=40&md5=5a2ca3a9477b37c86d96e469fef989cd","Residential carbon emissions are one of the critical causes of climate problems such as global warming. It is significant to explore the development and evolution trend of residential carbon emissions research for mitigating global climate change. However, there have been no studies that comprehensively review this research field. Based on the research papers on residential carbon emissions included in the Web of Science core database and China National Knowledge Infrastructure database, the CiteSpace bibliometric analysis software was used in this paper to draw the visual knowledge map of residential carbon emissions research and reveal its research status, research hotspots, and development trend. We found that residential carbon emissions research has gone through the stage of “emergence–initiation–rapid development”, and the research in the United States and the United Kingdom has played a fundamental role in developing this research field. Research hotspots mainly focus on analyzing energy demand, quantitative measurement, and impact mechanisms of residents’ direct and indirect carbon emissions and low-carbon consumption willingness. The focus of research has gradually shifted from qualitative analysis based on relevant policies to the analysis of quantitative spatiotemporal measurements and drive mechanisms of direct and indirect carbon emissions from residential buildings, transportation, and tourism based on mathematical models and geographic information system technologies. Modern intelligent means such as remote sensing technology and artificial intelligence technology can improve the dynamics and accuracy of this research, but there are few related types of research at present. Based on these research status and trends, we proposed that the future research direction of residential carbon emissions should focus more on spatial analysis and trend prediction based on intelligent methods under a low-carbon background. © 2023 by the authors.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85147811106"
"Wexler P.","Wexler, Philip (7003263428)","7003263428","ENCYCLOPEDIA OF TOXICOLOGY, Fourth Edition: Volume 1-9","2023","Encyclopedia of Toxicology, Fourth Edition: Volume 1-9","","","","1","9136","9135","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188085897&partnerID=40&md5=2bc440a1f9d8776b06a03b29b45c6a78","Encyclopedia of Toxicology, Fourth Edition is the most extensive compendium surveying the full scope of toxicology, including its chemical, biological and physical (e.g., radiation) perspectives. Spanning nine volumes, this new edition comprises 1150 thoroughly revised and 70 entirely new entries authored by experts in their respective fields, selected by a globally recognized board who have brought rigorous editorial skills to the project. New areas covered in this release include the bourgeoning field of computational toxicology, research applications of alternatives to animal testing, the rise in development and use of consumer products and their effects on populations, and the increasing introduction and use of pharmaceutical ingredients and their interactions. Other chapters of note cover artificial intelligence models of toxicological exposure and effects, extractables and leachable testing, climate change implications for humans, animals and the environment, screening models, -omics, tools such as sequence alignment to predict across species susceptibility, and much more. © 2024 Elsevier Inc. All rights reserved.","Book","Final","","Scopus","2-s2.0-85188085897"
"Yeoman I.; McMahon-Beattie U.","Yeoman, Ian (10439767800); McMahon-Beattie, Una (8689566300)","10439767800; 8689566300","Future past of tourism: critical reflection’s on the rise of tourism futures","2023","Tourism Geographies","","","","","","","0","10.1080/14616688.2023.2270937","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174811477&doi=10.1080%2f14616688.2023.2270937&partnerID=40&md5=95d13cb687bbfa4f858fcbfdd8fe9595","Given the presence of societal scale risks such as pandemics, war, climate change and artificial technology, the future of tourism will operate increasingly in a volatile, uncertain, complex and ambiguous (VUCA) world. As such the present course of tourism research is unsustainable. In this paper, the authors draw upon the evolutionary paradigm in futures studies to identify a series of historical turning points in the development of tourism futures research. These include forecasting tourism demand using quantitative methods; the appointment of the world’s first tourism scenario planner; the establishment of the European Tourism Futures Institute; the creation of academic credibility through the Journal of Tourism Futures; the effect of COVID-19 on tourism research; and finally, the accelerator effect of Artificial Intelligence (AI) on our consciousness and awareness of the future. In conclusion, the authors offer a series of futures turning points identifying the direction of tourism futures, scenario planning and foresight within the realm of tourism research. © 2023 Informa UK Limited, trading as Taylor & Francis Group.","Article","Article in press","","Scopus","2-s2.0-85174811477"
"Salem K.S.; Clayson K.; Salas M.; Haque N.; Rao R.; Agate S.; Singh A.; Levis J.W.; Mittal A.; Yarbrough J.M.; Venditti R.; Jameel H.; Lucia L.; Pal L.","Salem, Khandoker Samaher (57193818566); Clayson, Kathryn (58623899500); Salas, Mariangeles (58623848600); Haque, Naimul (58624153000); Rao, Raman (58624153100); Agate, Sachin (23092735200); Singh, Anand (58679909800); Levis, James W. (35484642000); Mittal, Ashutosh (15759996200); Yarbrough, John M. (35094878700); Venditti, Richard (7004046106); Jameel, Hasan (7003576564); Lucia, Lucian (57203232703); Pal, Lokendra (15830128600)","57193818566; 58623899500; 58623848600; 58624153000; 58624153100; 23092735200; 58679909800; 35484642000; 15759996200; 35094878700; 7004046106; 7003576564; 57203232703; 15830128600","A critical review of existing and emerging technologies and systems to optimize solid waste management for feedstocks and energy conversion","2023","Matter","6","10","","3348","3377","29","11","10.1016/j.matt.2023.08.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172726264&doi=10.1016%2fj.matt.2023.08.003&partnerID=40&md5=5a222f6c34e2b5b36ff53665022abc46","Solid waste generation and its accumulation is increasing at an alarming pace due to population growth and urbanization posing severe risks to health, safety, and natural ecosystems. This review strategically addresses the challenges and solutions to increasing the sustainability footprint of solid waste management (SWM) systems by revealing multipronged approaches that reduce solid waste and handling costs while generating revenue and reducing greenhouse gas and related emissions. For example, the United States sends ∼150 million tons of waste to landfills, which is composed of over 75% organic and recyclable materials having a potential to be diverted to alternative scenarios. The emergence of an automated upstream and downstream sorting process for solid waste to increase material diversion from landfills is a promising approach for creating sustainable SWM. The utilization of artificial-intelligence-enabled smart and automated systems at the home and industrial scales, comprehensive public re-education including awareness of the adverse effects of landfilled waste on the ecosystem, and more eco-friendly product development are required to significantly reduce landfills and their negative footprint. © 2023 Elsevier Inc.","Review","Final","","Scopus","2-s2.0-85172726264"
"Yao P.; Yu Z.; Zhang Y.; Xu T.","Yao, Peiyi (57932409700); Yu, Ziwang (36148899600); Zhang, Yanjun (55912083000); Xu, Tianfu (7401627110)","57932409700; 36148899600; 55912083000; 7401627110","Application of machine learning in carbon capture and storage: An in-depth insight from the perspective of geoscience","2023","Fuel","333","","126296","","","","26","10.1016/j.fuel.2022.126296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140097907&doi=10.1016%2fj.fuel.2022.126296&partnerID=40&md5=4f46c53ea33651c96277304dbdba6221","Greenhouse gas emissions cause serious global climate change, and it is urgent to curb CO2 emissions. As the last-guaranteed technology to reduce carbon emissions, carbon capture and storage (CCS) is emerging and has the potential to become an important choice to mitigate the greenhouse effect in the future. Forward-looking project deployment and accurate forecasting techniques occupy an indispensable position in CCS. Machine learning (ML), one of the fastest developing intelligent technology fields at present era, is considered as a substantial means to realize forecast demand relying on computer science and data statistics. This work provided a comprehensive review of ML applications in CCS, based on classical ML methods and mainstream research directions in CCS. The study shown that ML algorithms such as artificial neural network (ANN) and convolutional neural network (CNN) were widely used, mainly for predicting physical properties, evaluating mechanical stability, and monitoring CO2 plume migration and leakage during CO2 storage. Support vector machine (SVM) was generally combined with other ML methods for the prediction of petrophysical properties and sensitivity analysis of influencing factors. Deep learning (DL) algorithms, represented by generative adversarial network (GAN) and long short-term memory (LSTM), had shown good results in real-time monitoring of CO2 migration and leakage. Decision tree (DT) and random forest (RF) were mainly used to establish risk assessment and decision analysis framework, and estimate the success probability of CCS. This review summarized the applications of ML algorithms in CCS and presented the challenges and future prospects, from the geoscience perspective. The findings of this work can help for better understanding of the key role played by ML in CCS, as well as guiding the selection of ML algorithms and the development of new models in CCS research. © 2022 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85140097907"
